L	F	E	coordinate
199	9.0207  2195    0000000000000000100100110111111001100100110010011111010010111100000100111110011110000011011001111010000101100111001010010110010100111010110100001111010110001100111001100101011100111000101010101010101
201	9.0993  2220    000001111110001111100000001001100010111011111100100010100011000110000110010011110001110101111011000001010011101000001001001011000110010110010011011111011100101011101111011001110101011010110110101001010
203	8.8927  2317    00011100011110001110001111000000111100000111011100000000111001100000000010100010011001010111000100011001101110110111111001100010000010101010011001001010101101110110101101001010110100100100100101101101101
205	8.6471  2430    0011110001111000011101111101011100101111110000100100011010100100010111011001101010101110110111111011011000111010100011101111111110011000100001000111111001000111010010101111001000001010001001011010010010110
207	9.1129  2351    000010010010010010000000010000110010011110010011101101001001110110101000010000001111110111011010100001001110100000011101110101001010111010000001110110001111000100111001011000110010111010101000111000111000101
209	8.6394  2528    00010101000011100010101010011100011000111000001110001011000100101010000101001100000110110101011100100110011001110010000000111001010011000001011111110001001111011011010110110110010010011111111101101101000000010
211	9.0600  2457    0001110001110001110000011101111100010001010001100111110011001100000011111110000010101000011000000111110101111101011010100110100000001010010101001010110011001101011001101111101110110101110110101101101101101101101
213	9.5393  2378    001010100010111110111010101001000000011011001111010101101001001111001000110110001001101101100101100011110001001011011000011000111001110110001101110010110001111000000010110011100101010001111111101110101111011111110
215	8.9065  2595    00000111110000110110000111110110010000010000110111110100011111111100000011000101000001101100110000010001000110111011101011001100011010111110110010101101010101101111010111001011101011100111010110100111001011010110101
217	8.7722  2684    0000000001101001000000001111110000100001000011001011011010110111011111000100111000001101100110011000001010011001111101011001100110001101011011000100101000100011111000111100110100010111010010101101010100011110010101010
219	8.7744  2733    001001101101101101101100100111110000011101101111100000011011001011111110010011110100000000101101010111011101110111011101111111000010101011110100111001010100001100011010100101000111011010110101100011000111000111000110001
221	8.9322  2734    00000011111100000110111100100110000011011110110011100111110110010001110001011001011010100110110100000000000010011101010101010000111001111110000110000100100100011000101001101100111010001101011001110010111001010010101101010
223	9.0384  2751    0000011111000111110000111110100011101111100000001001111111110011000111100110001101101110001111001000000001100010001001101010100011010010010001110010011001011011001101010101100010101001010001001000010100101101011011010110101
225	9.0144  2808    000000111000000110000001100000001111011111111011110011100000000111101110001101110011100110100011110101100011100011011011011000001011011110011011001000110110111010010101011011001011101010100010110101011001010110010101101101010

227	7.5578	3409	00001110000100000011000000100001110000011101100110111110111000011100110001000010111010001101011111111000001001001100111000101001010101111100100001000010111011001101101001000101000110011101101011011010001010110010101110100100101
229	7.5476	3474	0110000011100011100000110011111111001111100111101100010111110111011000001001111110111111101000010100101110000001101110010101101111000001011110101011101010011101011000100010100001001110100110101100101010110011010110110110110101100
231	7.4381	3587	101001011110110101001000101100011010011100101110001111000100000101110110110000010101010110010011011111011001101000100010000110011101011100111001111111111010110001110111101011101101001001000011011000011011000010001111110001011110000
233	7.3522	3692	00110011000111100011100001100011000011000000100111111101111110010001001010000101010000101111100110111000011011111111101010101110010110111001101011110100000001011111000100011010100010101001110101001101001101100101101101101001001100110
235	7.3496	3757	0001111111100011100011101110001111000000001110011011100011000010010110101000100011101111011110110111101100100001101111010001101000110001011100010111010001001000100000011110001011001001000110010010101011010010010001001001001001010101101
237	7.8230	3590	101001010101101101101101110110110100101010110110011101101100101110000111111011101101110100010111000101110011101001110100001001111011001000010010000100001000111011101010010110111100111000100110001111111100001110001000111000111000000001111
239	7.6962	3711	00000111111110001110001110111000111100000000111001101110001100001001011010100010001110111101111011011110110010000110111101000110100011000101110001011101000100100010000001111000101100100100011001001010101101001001000100100100100101010110101
241	8.0668	3600	1000011100111111011100010100011101011110011011000100101001110101110100001101110010111010010011101111000100001001110000000101010010011101000100101110110001111011110010001101000010000010011111000100111001101000001001000001001000101011001001011
243	7.2488	4073	000101100110110110111101001100000010000001011001011110101100110110010100110010100101010000100100010101000010110101000111100101101111110000101111111011100010111111100000110011111001110011000001011110011110101000101011001111010001110001100111101
245	7.3237	4098	00011101010100010101101000101010100010011100111000001010111110010000001111100010011100110100111000111001001111000011101101000011101101001011000110110110110000110010011101101011010100011010111111010110110010011101111111110111100000010000000010010
247	7.1090	4291	0010101011010100011010010101010011110011100111010110001100101110101011100110101001011100110110001010000010100100111110001001100010010100111000001010000010011100110111100000011001000000010000110010011111011001001101001111111110000110111111000000001
249	8.1323	3812	101000111000011000101110001011101101010011101000110101011011100011100101001110001110101010101000100101000001011100100001110011001001011100100001010000011101111111111110110110110000011011011011100000001101111011000000111011110110111101100101101101111
251	7.5632	4165	00111000001110100000111100001010101010011001110110111010111001011000001100000100110011101101110101100111100000011010111000010111101001000001101010010110011111011100010011001110101100101001111001000001000111011001100000000000101101001010000100101001001
253	7.3036	4382	0000000000000000000111100011011100111100001111111100000000011111110011100001100001110100110001111010010011100100011001110001101110010010011001000110110001111010010011000010010110010110110010101001010101001010101101001011001000110110100101010101010101010
255	7.2849	4463	001010010110101000001011100110000111001110101110101011010011010111000100101011011001001100111110101101010110111111100010011000110010011000100101010001111111000001010011001110011100000011101101111100111100000001000001001101101001100100001010000001111000001
257	7.3847	4472	00101110011011001110100111001001010010010100101110011010001101010100110101011100011100011001010101101010100101010110100010000011001101011101111000000001111111100000000110010010010010000000110000000011011110011011110000011100000111001001111011001110011011110
259	8.0918	4145	0100100010011011000101110110101101000101111110001011001001001001001111110010011010100100001011100111011010001110101110101110111110010100010000010000010010000111011001000010111000000110001101010011100011100011000010010101111011110000011101111011000110001000111
261	7.8517	4338	001100101011010111101101101000010100011001010100110111011011110101011000101001011000101001101111101011010010011010111111110011000110010011001010101111100111000011111010111001111101100001111101100000001011100010001100000001100100000101111000111010000011111100110
263	7.2006	4803	00101010100101010100110100011110111010101110011111010111101011011101000111101001110000101100011010001001001001100100111000110101001000111111001001001110011000111000100001101100001011011000010110111101110000010111110101100100000001000101101111001111111110000000001
265	7.0963	4948	0011011111111111111110110110110110010001001001001001101101101011011001000100111110101001001101010010111100001011110100001001111111010000101010011101000010111101001011110000001100011111101011000100011000111110001110011100011100010001100011100011101010101010101000110
267	7.0765	5037	001100011000110001100110001100010101111010011111110011111111010100101111000001110000010001010010110011110101110000101000100101010101100111111111100010000010110111110100110000111110111010110110101101000011111101010100110101011000010111111011001001100110110010011011001
269	7.3092	4950	00101010110110010010101011011110111011010010001001000001100010011110111011010010110100101010000101011111011110110001110110010111100111101001101000011000100100111010001010000001011111110000111100001110111010011101100101000111011100001110111010001111111100011000111111110
271	7.5386	4871	1011011111101111010011101101100000000001101100100010010011111001011010001101001011111100111110001111011101001001101111111011010100011001100110111111000101010001100011110111010010010100110101000011110010000111100101001110001000110001101010101001110001001111010001010111000
281	7.5058	5260	01010101010101001001001010101011001001100010110010011001001110100101100010100100110100000110110010110001001000010101001110110000000111110001100100101001010100111011000000010111000100111100111001010000110001111101100001111011000110011100111101100111001111111111000111000000000000000
283	7.5088	5333	1010000101010101000000101010100010010001110000011001001101000000111011001100001111101001101101100110101101110001001111000010011100000011100001101001001010110110001011010011101101110000011001110001100001010010110011000100101011110011100110101101101110001000000000101011111111111010000
285	7.0142	5790	001110010101010111011100001001010111000101010101111010100110001101010010101001111000010110111100010001011100011100101110110010110110100001001001110001011110001111001110111100100100100001000100101110000101101001111111000000110110011111101000000000010010000001110100100010000000000110110
301	7.4827	6054	0001110001110001110000110001111101001111100010010101011011101110011100000010101001110011111110000001101010001110111010101110110111011001010101101100110011001110000000011000100011101111111011101101111110010101101010110010011111110101001001101110111000000001110110101100001010010011010010010010010010010
303	7.2462	6335	001011001001100101010101101001101010101101101100110001010100111010010100001001001100101010110110001100101011110101101010011011111100101110001010000110100001101000001001000011010100011000000111110100000011001001110000000011001110001011111000010011111110110011000111000000000110000111111111100110001100001
341	6.9397	8378	00111100010110011011011011101100100000011111001101000100011101011110001101001011101101010100000111110110110000101110000010101110101111010011101000111011011100111101010110111000000010110010001110110111101100001011111011111101011011110100111000101001010000000011101111000011011010000010010001000011001010010101110011101110001110011000010010110
381	7.0893	10238	000001101101111110010000000110011011001001001001001100110111111100000011011000000110110000011111001000000011110000000001011001110000001011011010010011000001010000010010001000101111111010111100101111101010111101110111000101000001010011000111100011110101001001100001010101001011010101110010100101001110010101100011010100101010001100110001110001110011100110010101000110101000111001010
401	6.7632	11888	11000010011110111110100100101100000111111001111000001011000110011110110001000010011100001000110110101110010100111000011101111100100001100000101010101011000100100011001100010000001010101111101011011011101110001111101011111111010100010011001101110001001111111111110101100101110010100010010110110000011011111000110111010010011101000100111010011001001111010110100110101001010011110001111010111010011101001
449	6.5218	15456	00000000000001110111101110010001101110011100110011111100111010010111110011000000000110001110000001000000111101111110101101100000101101001110110101111111100111100101111010111101111000110100101101101110001101011101110011110111101000101100100010000011011011100011110000110110100010111110100001101001101010100000111011000011110101100011111010100010110101000101011011011001010101001100101000011110110010101100110010011011100100011011101000100101010101010
